respondent_c,a2,a3a,a3b,a3c,a3d,a3e,a3f,a3g,a3h,a3i,a3j,a3k,a3l,a4a,a4g,a4h,a4c,a4d,a4e,a4f,a4i,a5,b1,b3,b6a,b6b,b6c,b6d,b6e,b6f,b6g,b7a,b7b,b7c,b7d,b7e,b7f,b8a
cbsh0152,13,1,1,0,0,0,0,0,0,0,0,0,0,1,99,99,99,99,99,99,99,4,10,2,2,2,2,2,2,2,2,2,2,2,3,2,2,#NULL!
cxvh0153,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,11,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
cxvh0153,13,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,4,11,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
cpdi0155,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,11,2,5,2,2,4,2,2,1,5,5,2,2,2,5,2
chli0157,16,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,13,3,4,5,5,4,1,2,2,4,5,4,4,3,2,2
cdpi0158,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,11,2,1,2,2,2,2,3,2,2,2,2,2,2,1,#NULL!
cdpi0158,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,11,2,1,2,2,2,2,3,2,2,2,2,2,2,1,#NULL!
czsi0159,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,2,5,5,5,2,1,8,2,2,2,5,8,2,2,#NULL!
cvwi0160,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,#NULL!
cvwi0160,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,10,1,1,2,2,2,2,2,2,2,2,2,2,2,2,#NULL!
craj0161,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,2,1,2,1,1,1,2,1,1,1,1,1,2,1,#NULL!
cnej0162,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,2,2,2,2,2,2,1,1,1,2,1,4,1,1,#NULL!
cxtj0166,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,10,3,2,6,2,1,1,2,1,1,6,1,1,1,1,#NULL!
clfk0169,17,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,2,7,7,7,7,5,2,2,2,7,2,2,2,1,#NULL!
cdnk0171,9,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,7,3,1,4,4,1,99,4,4,5,5,1,1,5,1,1
cryk0174,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,1,1,1,1,1,1,2,1,1,1,2,1,1,1,#NULL!
cncl0175,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,12,2,4,2,4,4,2,2,2,2,2,2,2,4,99,#NULL!
cxrl0179,16,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,2,5,5,5,4,2,5,2,4,2,2,2,2,1,2
chhm0183,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,1,4,2,2,1,2,2,1,4,3,1,1,1,#NULL!
cdlm0184,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,3,8,5,6,3,3,6,5,5,2,3,2,6,6,1
crwm0187,15,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,13,3,2,2,2,4,2,6,2,1,3,2,1,2,1,#NULL!
cnan0188,16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,14,2,2,6,2,2,2,6,1,4,4,2,6,2,8,2
cjen0189,15,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,12,2,4,4,4,1,2,7,2,4,4,3,3,2,1,2
cbmn0191,10,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,8,2,1,5,6,4,1,2,1,1,1,1,1,5,1,2
cxpn0192,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,2,1,3,1,1,1,1,1,1,2,2,1,1,1,#NULL!
cttn0193,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,2,2,1,2,2,1,1,1,2,2,1,2,2,1,#NULL!
cpxn0194,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,13,2,2,1,1,1,2,1,1,1,4,1,1,1,1,#NULL!
cdjo0197,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,11,4,6,7,2,3,7,7,2,1,2,2,2,2,1,#NULL!
cvqo0199,16,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,5,11,1,1,5,5,4,1,1,4,1,5,4,2,5,1,#NULL!
cyda0201,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2,1,2,1,1,1,1,1,1,2,1,1,1,1,#NULL!
cexa0206,14,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,2,5,5,2,2,5,2,6,5,2,2,1,1,1
cabb0207,14,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,4,14,2,1,4,4,1,1,4,1,1,4,1,1,1,1,#NULL!
ckqb0211,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,3,2,4,2,1,1,4,1,1,2,1,1,2,4,#NULL!
ccyb0213,10,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,9,3,2,2,1,1,1,2,1,1,2,1,1,2,1,#NULL!
cybc0214,12,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,2,2,4,3,1,1,1,1,1,4,1,1,3,1,#NULL!
cufc0215,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,11,3,1,4,1,3,1,4,1,1,3,1,1,4,1,#NULL!
cmnc0217,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,13,3,7,7,2,2,2,6,1,6,6,2,2,2,1,2
cazc0220,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,3,2,6,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
cwcd0221,9,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,9,2,1,2,1,1,1,2,1,1,4,1,1,1,1,#NULL!
csgd0222,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,10,2,2,2,1,2,3,1,1,1,5,1,1,5,1,#NULL!
cgsd0225,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,2,2,2,1,1,1,2,1,2,2,1,1,1,1,#NULL!
ccwd0226,14,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,11,3,4,2,4,1,2,6,1,1,5,1,1,1,1,#NULL!
