respondent_c,a2,a3a,a3b,a3c,a3d,a3e,a3f,a3g,a3h,a3i,a3j,a3k,a3l,a4a,a4g,a4h,a4c,a4d,a4e,a4f,a4i,a5,b1,b3,b6a,b6b,b6c,b6d,b6e,b6f,b6g,b7a,b7b,b7c,b7d,b7e,b7f,b8a
cogh0249,15,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,14,2,2,2,2,1,1,2,1,1,2,1,2,2,1,#NULL!
cyvh0253,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,10,3,99,99,99,99,99,99,99,99,99,99,99,99,3,#NULL!
cmhi0256,13,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,1,1,6,4,1,1,5,1,6,1,1,1,1,4,2
cili0257,14,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,12,2,2,2,1,1,1,2,2,2,2,2,1,1,2,#NULL!
cwwi0260,16,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,15,2,6,6,6,2,2,8,2,2,4,8,4,1,4,#NULL!
ckij0263,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,2,4,1,1,4,1,1,2,1,4,4,1,1,1,#NULL!
cuxj0267,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,3,1,5,4,1,1,5,1,1,5,3,5,1,1,#NULL!
cihm0283,9,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,3,1,2,2,1,3,2,1,1,2,1,1,1,99,#NULL!
celm0284,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,1,1,2,1,1,1,1,2,1,1,1,1,1,1,#NULL!
cwsm0286,12,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,2,1,1,1,2,1,1,2,1,1,2,1,1,1,#NULL!
cswm0287,13,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!
cgin0290,15,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,14,2,1,1,1,4,1,1,4,1,1,4,1,1,1,#NULL!
cmbo0295,14,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,13,2,1,1,1,1,2,2,1,1,2,1,1,1,1,#NULL!
cifo0296,14,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!
cano0298,15,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,4,15,1,2,2,2,2,2,1,1,2,1,1,1,1,2,#NULL!
crla0303,11,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,3,3,4,6,4,6,2,5,5,2,6,2,6,2,2
cfxa0306,14,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,13,3,4,1,1,4,4,3,4,4,1,1,1,1,1,1
cbbb0307,12,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,2,1,4,1,4,1,1,4,1,1,2,1,1,1,#NULL!
cdyb0313,10,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,8,2,1,4,1,1,1,1,1,1,4,1,1,4,4,#NULL!
czbc0314,11,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,4,1,4,3,1,1,2,4,4,4,2,2,1,1,2
cnnc0317,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,1,1,1,1,1,1,1,1,4,5,1,1,5,3,1
cbzc0320,16,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,12,3,2,6,2,1,2,2,1,6,2,1,1,3,1,2
cpkd0323,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,99,99,99,99,99,99,99,99,99,99,99,99,99,99,#NULL!
czzd0327,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,3,4,4,4,1,1,4,2,2,3,2,2,1,2,#NULL!
cvde0328,12,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,1,1,1,2,1,1,1,1,1,1,1,1,1,2,#NULL!
cfte0332,11,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,11,3,2,4,1,1,1,2,5,2,2,5,5,2,5,#NULL!
cbxe0333,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,1,1,5,1,4,1,5,4,1,5,4,1,4,4,2
cpif0336,14,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,9,3,2,5,2,2,1,4,1,6,6,2,1,2,2,1
cbxe0333,12,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,4,1,1,1,4,1,2,4,5,5,2,1,2,99,2
czxf0340,15,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,11,3,4,4,2,4,4,2,2,5,4,4,2,4,4,2
crfg0342,10,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,10,2,2,2,2,4,4,3,5,8,1,7,2,99,99,#NULL!
cjng0344,11,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,3,1,1,2,4,1,1,2,2,2,4,1,6,2,#NULL!
cbvg0346,13,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,#NULL!
choh0351,12,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,9,2,4,1,1,2,1,1,2,1,1,1,1,2,2,#NULL!
cdsh0352,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,9,3,2,2,2,2,2,2,5,2,2,5,2,2,2,#NULL!
cpej0362,10,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,8,3,1,6,2,1,1,6,1,5,3,1,1,2,1,2
chmj0364,14,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,8,2,1,1,1,5,1,1,1,1,1,1,1,4,1,#NULL!
cdqj0365,14,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,4,13,4,1,1,1,3,1,1,7,1,2,1,1,1,1,#NULL!
cfnk0371,10,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,9,1,1,1,1,1,1,1,1,1,2,1,1,1,1,#NULL!
ctyk0374,10,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,6,2,1,2,1,1,2,1,2,1,1,2,2,1,1,#NULL!
cdol0378,14,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,2,2,2,2,2,1,1,1,1,4,2,2,3,2,#NULL!
cndm0382,13,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,10,3,4,4,4,4,2,1,2,4,5,5,2,1,1,1
cpan0388,17,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,5,11,3,4,5,2,2,2,2,2,2,5,2,99,99,99,#NULL!
cnbo0395,15,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,12,4,2,5,5,4,2,5,1,2,5,5,3,5,2,#NULL!
